scenario_code,scenario_column,sensors
115,scenario_115,myd10+viirs_sr_vj209ga+viirs_sr_vnp09ga
116,scenario_116,myd10+viirs_sr_vnp09ga
117,scenario_117,sice
118,scenario_118,sice+viirs_sr_vj109ga
119,scenario_119,sice+viirs_sr_vj109ga+viirs_sr_vj209ga
120,scenario_120,sice+viirs_sr_vj109ga+viirs_sr_vj209ga+viirs_sr_vnp09ga
121,scenario_121,sice+viirs_sr_vj109ga+viirs_sr_vnp09ga
122,scenario_122,sice+viirs_sr_vj209ga
123,scenario_123,sice+viirs_sr_vj209ga+viirs_sr_vnp09ga
124,scenario_124,sice+viirs_sr_vnp09ga
125,scenario_125,viirs_sr_vj109ga
126,scenario_126,viirs_sr_vj109ga+viirs_sr_vj209ga
127,scenario_127,viirs_sr_vj109ga+viirs_sr_vj209ga+viirs_sr_vnp09ga
128,scenario_128,viirs_sr_vj109ga+viirs_sr_vnp09ga
129,scenario_129,viirs_sr_vj209ga
130,scenario_130,viirs_sr_vj209ga+viirs_sr_vnp09ga
131,scenario_131,viirs_sr_vnp09ga
132,scenario_132,vj143ma3
133,scenario_133,vj143ma3+vnp43ma3
134,scenario_134,vnp43ma3
