scenario_id,scenario,workflow,scenario_family,daily_sensor_groups,fallback_sensor_groups,daily_sensors,fallback_sensors,n_train,n_test,n_total,n_daily_used,n_fallback_used,train_r_squared,train_rmse,train_mae,train_bias,test_calib_r_squared,test_calib_rmse,test_calib_mae,test_calib_bias,train_slope,train_intercept,test_calib_slope,test_calib_intercept,slope,intercept
22,daily[sice+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"sice, viirs_sr_vj209ga",,"sice, viirs_sr_vj209ga",,6480,2778,9258,9258,0,0.6665599226872378,0.11593591117978722,0.07677833300347223,-0.0036175478051697534,0.7038499066706645,0.10759748620434371,0.07540920554757534,-0.003361975117739036,0.921034591223957,0.04269148597491379,1.0312712278616163,-0.021652141071650588,0.921034591223957,0.04269148597491379
39,daily[mod10+gcomc+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"mod10, gcomc, viirs_sr_vj109ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, gcomc, viirs_sr_vj109ga",,19558,8382,27940,27940,0,0.7117983859168748,0.11175549481158341,0.07208685445973516,-0.006710971208652895,0.7026402422578848,0.1063270902739822,0.07010527381578949,-0.0003861344897336646,0.8170253529956907,0.10725473598795987,0.9958792753150982,0.002147014091202437,0.8170253529956907,0.10725473598795987
66,daily[mod10+myd10+sice+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"mod10, myd10, sice, viirs_sr_vj109ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, myd10, myd10_2021, myd10_2022, myd10_2023, myd10_2024, myd10_2025, sice, viirs_sr_vj109ga",,20792,8912,29704,29704,0,0.7127926554646336,0.11125274657786945,0.07272037189384539,-0.007565406635540912,0.7025112893242982,0.10897258264537191,0.0720742165239723,-0.0019268386451272812,0.8340139308915544,0.0951072876495368,0.9954516775487389,0.0008652870345671193,0.8340139308915544,0.0951072876495368
69,daily[mod10+myd10+gcomc+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"mod10, myd10, gcomc, viirs_sr_vj109ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, myd10, myd10_2021, myd10_2022, myd10_2023, myd10_2024, myd10_2025, gcomc, viirs_sr_vj109ga",,20855,8938,29793,29793,0,0.7289196964566769,0.10842067377577654,0.07077755006279868,-0.0053706215335411174,0.7022964908577822,0.10762188614042915,0.0693602591572586,-0.0017925450361936212,0.8325527245251985,0.09822904081911388,0.9897779978356227,0.0045150959845693395,0.8325527245251985,0.09822904081911388
112,daily[mod10+sice+viirs_sr_vnp09ga+viirs_sr_vj109ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, viirs_sr_vnp09ga, viirs_sr_vj109ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, viirs_sr_vnp09ga, viirs_sr_vj109ga, viirs_sr_vj209ga",,19900,8529,28429,28429,0,0.7039471488317449,0.11166210647654272,0.07187575575172529,-0.009731615026137355,0.7014758897107745,0.10766067472421867,0.07125474968900003,-0.00012708380114044007,0.8466608413120402,0.08572016609404276,0.9962808975357526,0.0021431298171081803,0.8466608413120402,0.08572016609404276
109,daily[mod10+sice+gcomc+viirs_sr_vnp09ga+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, gcomc, viirs_sr_vnp09ga, viirs_sr_vj109ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, gcomc, viirs_sr_vnp09ga, viirs_sr_vj109ga",,20244,8677,28921,28921,0,0.713016791641265,0.10925025639076578,0.07016877263655157,-0.007970863537481889,0.700530876057724,0.10730945657365723,0.07022445718065355,-0.0023911826673581275,0.8612773231215548,0.0782983020372181,0.9858287751362051,0.006302801385509094,0.8612773231215548,0.0782983020372181
37,daily[mod10+sice+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, viirs_sr_vj209ga",,19405,8317,27722,27722,0,0.6840925412729446,0.11754714003460158,0.0769308575651722,-0.009782548682066478,0.6999768957952089,0.10863200152004432,0.07405744446730132,0.0016128561124591583,0.8091497884315254,0.10862991143975664,1.0081255665137585,-0.0033433420005742898,0.8091497884315254,0.10862991143975664
104,daily[mod10+myd10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, myd10, sice, viirs_sr_vj109ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, myd10, myd10_2021, myd10_2022, myd10_2023, myd10_2024, myd10_2025, sice, viirs_sr_vj109ga, viirs_sr_vj209ga",,20826,8926,29752,29752,0,0.714842196791913,0.11107922517229593,0.07257795836570234,-0.007911984358488588,0.699928183716949,0.10853251346208984,0.07135851185285626,-0.0003392735113704222,0.8369397716026425,0.09292679949033711,0.9914378286118902,0.004914738984102218,0.8369397716026425,0.09292679949033711
36,daily[mod10+sice+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, viirs_sr_vj109ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, viirs_sr_vj109ga",,19516,8365,27881,27881,0,0.6907567409442704,0.11605394266702614,0.0753813320531786,-0.009815935371788959,0.6993051186733241,0.10777238090437713,0.0727211782265377,0.0009278034891487813,0.8196993438021634,0.1020996770378122,0.9983092625380533,0.0019617688852744397,0.8196993438021634,0.1020996770378122
40,daily[mod10+gcomc+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, gcomc, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, gcomc, viirs_sr_vj209ga",,19424,8325,27749,27749,0,0.7094708272116493,0.11258734624967297,0.07297748311950851,-0.005861512420699478,0.6983557505267677,0.10830043243125718,0.07188131184161414,-0.0009156518840384339,0.8062224993104065,0.11460126268838722,1.006775463508438,-0.005086546566940853,0.8062224993104065,0.11460126268838722
35,daily[mod10+sice+viirs_sr_vnp09ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, viirs_sr_vnp09ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, viirs_sr_vnp09ga",,19728,8456,28184,28184,0,0.700449431417558,0.11265916201636354,0.07279577272012706,-0.009387742148992972,0.696457011307927,0.10876588468075707,0.07248730341077367,-0.0010414413424191802,0.8396309345412758,0.0903448917861086,0.9899848367428439,0.005069829786663038,0.8396309345412758,0.0903448917861086
59,daily[sice+viirs_sr_vj109ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"sice, viirs_sr_vj109ga, viirs_sr_vj209ga",,"sice, viirs_sr_vj109ga, viirs_sr_vj209ga",,7378,3162,10540,10540,0,0.7283293613188365,0.10355656087227885,0.0689251646974564,-0.005883080520308123,0.6950937843364297,0.10712862446995153,0.070464245250269,-0.0005821067075621123,0.9725387205942821,0.010711971124209851,0.9727245756749019,0.015773917385402347,0.9725387205942821,0.010711971124209851
81,daily[mod10+gcomc+viirs_sr_vnp09ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, gcomc, viirs_sr_vnp09ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, gcomc, viirs_sr_vnp09ga, viirs_sr_vj209ga",,19824,8497,28321,28321,0,0.7248909805762432,0.10753906521212013,0.06901750587005649,-0.006504950022027172,0.6949847955836409,0.10791015939497875,0.06998808571151995,-0.0014147558184394358,0.8411016940536373,0.09249891211263384,0.9820858326814618,0.009601836780835149,0.8411016940536373,0.09249891211263384
10,daily[mod10+gcomc],daily_only_or_16day_only_combinations,daily,"mod10, gcomc",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, gcomc",,19328,8284,27612,27612,0,0.7103548817284867,0.11275541279482193,0.07357278025871791,-0.005917498386201365,0.6936770653712896,0.10874874589252212,0.07146831885161946,-0.0008076827925170638,0.8052074197130002,0.11513226499593299,0.9954419499943797,0.0019990062360878413,0.8052074197130002,0.11513226499593299
111,daily[mod10+sice+gcomc+viirs_sr_vj109ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, gcomc, viirs_sr_vj109ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, gcomc, viirs_sr_vj109ga, viirs_sr_vj209ga",,19982,8564,28546,28546,0,0.7051571174847308,0.11203308507495752,0.07267282607126666,-0.007820953717199647,0.6932755743392818,0.10902325568203475,0.07263912173017283,-0.0011799404056739248,0.836736957050122,0.09344834281719627,0.9989367836165101,-0.0005263550731705591,0.836736957050122,0.09344834281719627
125,daily[mod10+sice+gcomc+viirs_sr_vnp09ga+viirs_sr_vj109ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, gcomc, viirs_sr_vnp09ga, viirs_sr_vj109ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, gcomc, viirs_sr_vnp09ga, viirs_sr_vj109ga, viirs_sr_vj209ga",,20279,8692,28971,28971,0,0.7172551149628369,0.10826412848235324,0.06989378654923731,-0.007805300434834887,0.6918352964808454,0.1092580045552689,0.07087842329095907,-0.0020937644355943884,0.862327820528898,0.07763897601542247,0.986422769816733,0.00626803816368704,0.862327820528898,0.07763897601542247
12,daily[mod10+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"mod10, viirs_sr_vj109ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, viirs_sr_vj109ga",,18962,8127,27089,27089,0,0.7106924781172786,0.11297333870135327,0.07367043176916993,-0.007157213254561756,0.6902913605835437,0.10991552921422641,0.07213952600680526,-0.0013044690285351768,0.7985228223066165,0.11811372293829375,0.991745931600516,0.0037902459873876415,0.7985228223066165,0.11811372293829375
43,daily[mod10+viirs_sr_vj109ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, viirs_sr_vj109ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, viirs_sr_vj109ga, viirs_sr_vj209ga",,19045,8163,27208,27208,0,0.7129110931360496,0.1127917887470812,0.07374875858958607,-0.0074186771419270155,0.686299719716851,0.10920151820113598,0.07109753589632724,-0.0007998303146158223,0.8031471165579772,0.11521413372845946,0.9840855274763943,0.008984468524652067,0.8031471165579772,0.11521413372845946
79,daily[mod10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, viirs_sr_vj109ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, viirs_sr_vj109ga, viirs_sr_vj209ga",,19576,8390,27966,27966,0,0.6991079580213249,0.11436025162575121,0.07433150073482835,-0.009927923844060755,0.6835836463260865,0.10998157250386074,0.0738005950405808,0.0015839898734715718,0.8275240572143112,0.09718279378469241,0.9774535763995271,0.015356369873416487,0.8275240572143112,0.09718279378469241
9,daily[mod10+sice],daily_only_or_16day_only_combinations,daily,"mod10, sice",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice",,19305,8274,27579,27579,0,0.6874464668668238,0.1174919783107625,0.07714430317757057,-0.009868235543434342,0.683307725735273,0.1111639109781622,0.07521083481041421,0.0002646369648956136,0.8067566372190254,0.11030775858726227,0.9960585534850328,0.0026578920032926945,0.8067566372190254,0.11030775858726227
76,daily[mod10+sice+gcomc+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, gcomc, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, gcomc, viirs_sr_vj209ga",,19850,8508,28358,28358,0,0.7067398917839687,0.11192409686175049,0.07340561988375735,-0.0077988598280142735,0.6799139338875622,0.111605276326185,0.0729926996836995,-0.0015041792103149651,0.8339604732931318,0.09539938998770803,0.9827013246487329,0.009064108282286654,0.8339604732931318,0.09539938998770803
3,daily[sice],daily_only_or_16day_only_combinations,daily,sice,,sice,,5896,2527,8423,8423,0,0.6433644157425247,0.12087920594475984,0.08070967421192334,-0.004212226910871777,0.6387607708626781,0.11869826909396201,0.08139124095283184,0.00047158775137720274,0.901467558701777,0.0522364971601722,0.9892594208696815,0.006588124414314223,0.901467558701777,0.0522364971601722
